lng,lat,price_per_square_meter
19.070281,47.4195081,553703.70
19.0939849,47.5650065,941666.67
19.1297792,47.5331172,797142.86
19.082082,47.5383689,780000.00
19.0684509,47.5024449,1020833.33
19.02633680548874,47.46200855,1544117.65
19.02329882133847,47.503256300000004,1331481.48
18.9885881,47.4677382,1610447.76
19.0743426,47.4893892,820689.66
19.0483244,47.4588919,1292241.38
19.082082,47.5383689,758620.69
19.0669176,47.4811174,1452380.95
19.0316144,47.5463282,932258.06
19.062266651683633,47.508400949999995,1682790.70
19.1017002,47.4356369,982051.28
19.0823245,47.4867816,1102941.18
19.098623301000067,47.46959045,640298.51
19.0421471,47.5441068,703921.57
19.2570763,47.5060919,987317.07
19.0902451,47.567137,731111.11
19.0846941,47.4788541,1157142.86
,,1020833.33
19.0852186,47.5018434,1206857.14
19.082082,47.5383689,1168292.68
19.140802,47.4452234,1125322.58
18.9816041,47.4642214,1873103.45
18.9816041,47.4642214,1834827.59
19.04863404230121,47.45653365,1158315.79
19.0276525,47.5644145,1181720.43
,,970270.27
19.0823245,47.4867816,1213513.51
19.092478,47.4878172,635714.29
19.1707505,47.4480222,689090.91
19.0022122,47.4725732,1906666.67
19.0293878,47.5089409,1057647.06
19.0279634,47.5304555,2555555.56
19.0767802,47.4860372,1773809.52
19.0689055,47.4294024,789583.33
19.0880818,47.5045265,361111.11
19.0470356,47.5548304,1050000.00
,,690384.62
19.0852186,47.5018434,1227575.76
19.0416004,47.4248391,1054945.05
19.0235165,47.4974709,1030645.16
19.0818578,47.5029917,942307.69
18.9887327,47.4639204,1486486.49
19.0677381,47.5201797,787878.79
19.0704816,47.4875212,1163888.89
19.0711239,47.5194372,1379411.76
19.0472765,47.5116668,1402702.70
19.04863404230121,47.45653365,1317142.86
19.086638,47.4866831,1178214.29
19.1395441,47.5151356,1370937.50
19.140802,47.4452234,1089215.69
19.0897318,47.5420677,1278125.00
19.08029,47.4989296,1202439.02
19.1461005,47.4620348,1378000.00
19.0831302,47.4903056,1866153.85
